date,symbol,yahoo_symbol,market,open,high,low,close,volume
2007-12-31,6152,6152.TW,上市,27.876513,28.126366,27.126951,27.840818,1285953
2008-01-02,6152,6152.TW,上市,27.269726,27.555271,26.05615,26.05615,1578725
2008-01-03,6152,6152.TW,上市,24.949657,25.270897,24.806883,25.199511,881116
2008-01-04,6152,6152.TW,上市,25.199511,25.770603,24.98535,25.056738,528109
2008-01-07,6152,6152.TW,上市,24.271482,24.271482,23.307762,23.307762,378221
2008-01-08,6152,6152.TW,上市,23.307762,23.70039,22.522509,22.915134,261953
2008-01-09,6152,6152.TW,上市,22.236961,23.343456,22.058495,23.129295,616361
2008-01-10,6152,6152.TW,上市,23.843163,23.914549,23.307762,23.70039,509898
2008-01-11,6152,6152.TW,上市,24.200096,24.699802,23.985935,24.200096,668191
2008-01-14,6152,6152.TW,上市,24.342871,24.521336,23.486229,23.771776,361411
2008-01-15,6152,6152.TW,上市,23.985935,24.55703,23.70039,23.771776,435655
2008-01-16,6152,6152.TW,上市,23.200682,23.629002,22.843748,22.915134,243742
2008-01-17,6152,6152.TW,上市,22.915134,23.414843,22.915134,22.950829,336197
2008-01-18,6152,6152.TW,上市,22.843748,24.485643,22.415428,24.485643,413242
2008-01-21,6152,6152.TW,上市,23.985935,24.12871,23.593309,23.593309,134478
2008-01-22,6152,6152.TW,上市,21.987108,22.665281,21.951414,21.951414,795666
2008-01-23,6152,6152.TW,上市,21.951414,22.379736,20.416599,20.416599,783058
2008-01-24,6152,6152.TW,上市,20.559374,20.880613,18.988867,19.310106,1094041
2008-01-25,6152,6152.TW,上市,19.631346,20.63076,19.631346,20.63076,327792
2008-01-28,6152,6152.TW,上市,21.05908,21.416014,20.702147,20.773535,641575
2008-01-29,6152,6152.TW,上市,20.916307,21.130466,20.416599,20.952002,344601
2008-01-30,6152,6152.TW,上市,20.952002,21.987108,20.773535,21.772947,395031
2008-01-31,6152,6152.TW,上市,21.772947,21.772947,20.559374,20.737841,271759
2008-02-01,6152,6152.TW,上市,20.737841,21.344627,20.737841,21.05908,235337
2008-02-12,6152,6152.TW,上市,21.05908,21.05908,20.309521,20.309521,148487
2008-02-13,6152,6152.TW,上市,20.309521,20.702147,20.20244,20.20244,205920
2008-02-14,6152,6152.TW,上市,20.345215,21.130466,20.345215,21.130466,225532
2008-02-15,6152,6152.TW,上市,20.987694,21.201855,20.09536,21.05908,253548
2008-02-18,6152,6152.TW,上市,21.201855,21.772947,21.05908,21.451708,355808
2008-02-19,6152,6152.TW,上市,21.451708,21.630175,21.05908,21.630175,315184
2008-02-20,6152,6152.TW,上市,21.630175,21.630175,21.05908,21.273241,243742
2008-02-21,6152,6152.TW,上市,21.416014,22.129881,21.130466,21.701561,988979
2008-02-22,6152,6152.TW,上市,21.416014,21.4874,21.130466,21.273241,329192
2008-02-25,6152,6152.TW,上市,21.416014,21.665869,21.273241,21.308933,501493
2008-02-26,6152,6152.TW,上市,21.416014,21.4874,21.05908,21.094774,591146
2008-02-27,6152,6152.TW,上市,22.558203,22.558203,22.558203,22.558203,794265
2008-02-29,6152,6152.TW,上市,24.12871,24.12871,23.664696,24.12871,3367573
2008-03-03,6152,6152.TW,上市,23.985935,24.628416,23.557615,24.485643,1355994
2008-03-04,6152,6152.TW,上市,24.485643,24.628416,23.914549,24.12871,1186495
2008-03-05,6152,6152.TW,上市,24.12871,24.913963,23.593309,23.914549,1078632
2008-03-06,6152,6152.TW,上市,23.985935,24.55703,23.843163,24.449949,951157
2008-03-07,6152,6152.TW,上市,24.12871,24.271482,23.70039,23.914549,459469
2008-03-10,6152,6152.TW,上市,23.557615,23.557615,22.593895,22.700975,677997
2008-03-11,6152,6152.TW,上市,21.844336,22.415428,21.4874,22.379736,400634
2008-03-12,6152,6152.TW,上市,22.486814,23.129295,21.558788,21.665869,619162
2008-03-13,6152,6152.TW,上市,21.630175,21.987108,21.558788,21.630175,498692
2008-03-14,6152,6152.TW,上市,21.630175,21.844336,21.4874,21.630175,430052
2008-03-17,6152,6152.TW,上市,21.05908,21.05908,20.131054,20.773535,997384
2008-03-18,6152,6152.TW,上市,20.345215,20.737841,20.09536,20.345215,386626
2008-03-19,6152,6152.TW,上市,20.559374,21.416014,20.559374,20.844921,1077231
2008-03-20,6152,6152.TW,上市,20.52368,20.63076,20.20244,20.559374,275961
2008-03-21,6152,6152.TW,上市,20.559374,20.844921,20.345215,20.416599,662588
2008-03-24,6152,6152.TW,上市,21.130466,21.130466,20.416599,20.487988,990380
2008-03-25,6152,6152.TW,上市,20.559374,20.987694,20.131054,20.452293,924541
2008-03-26,6152,6152.TW,上市,20.487988,21.880028,20.487988,21.380322,2805844
2008-03-27,6152,6152.TW,上市,21.380322,21.380322,20.702147,20.702147,781658
2008-03-28,6152,6152.TW,上市,20.702147,21.201855,20.702147,20.916307,917537
2008-03-31,6152,6152.TW,上市,20.844921,21.05908,20.702147,20.702147,579939
2008-04-01,6152,6152.TW,上市,20.916307,21.772947,20.809227,21.594481,2070413
2008-04-02,6152,6152.TW,上市,22.129881,22.129881,21.665869,21.772947,1644563
2008-04-03,6152,6152.TW,上市,21.987108,22.986523,21.701561,22.843748,1692191
2008-04-07,6152,6152.TW,上市,23.129295,23.307762,22.486814,22.593895,1347589
2008-04-08,6152,6152.TW,上市,22.593895,23.057909,22.486814,22.486814,1140268
2008-04-09,6152,6152.TW,上市,22.558203,22.593895,21.880028,21.915722,990380
2008-04-10,6152,6152.TW,上市,21.987108,22.344042,21.915722,21.987108,825083
2008-04-11,6152,6152.TW,上市,22.058495,22.165575,21.4874,21.701561,993181
2008-04-14,6152,6152.TW,上市,21.416014,21.665869,21.308933,21.416014,727026
2008-04-15,6152,6152.TW,上市,21.558788,22.129881,21.523094,21.737253,1313969
2008-04-16,6152,6152.TW,上市,21.808641,22.058495,21.630175,21.701561,921740
2008-04-17,6152,6152.TW,上市,21.844336,22.486814,21.844336,22.272655,1815463
2008-04-18,6152,6152.TW,上市,22.415428,22.558203,22.058495,22.129881,979173
2008-04-21,6152,6152.TW,上市,22.486814,23.664696,22.486814,23.664696,4541461
2008-04-22,6152,6152.TW,上市,23.557615,23.914549,23.057909,23.70039,2612530
2008-04-23,6152,6152.TW,上市,23.914549,24.271482,23.343456,23.593309,1655770
2008-04-24,6152,6152.TW,上市,23.664696,23.878857,22.950829,22.950829,1312569
2008-04-25,6152,6152.TW,上市,23.093601,23.593309,22.915134,22.950829,1056218
2008-04-28,6152,6152.TW,上市,22.843748,23.129295,22.486814,22.772362,819480
2008-04-29,6152,6152.TW,上市,22.129881,22.415428,21.4874,21.987108,1717406
2008-04-30,6152,6152.TW,上市,21.987108,22.0228,21.380322,21.987108,704612
2008-05-02,6152,6152.TW,上市,22.058495,22.272655,21.558788,22.129881,626166
2008-05-05,6152,6152.TW,上市,22.308348,23.343456,21.844336,22.843748,1318172
2008-05-06,6152,6152.TW,上市,22.843748,22.915134,22.165575,22.700975,554725
2008-05-07,6152,6152.TW,上市,22.700975,23.985935,22.700975,22.986523,1435841
2008-05-08,6152,6152.TW,上市,22.843748,24.057323,22.843748,23.486229,2613931
2008-05-09,6152,6152.TW,上市,24.057323,24.55703,23.557615,23.557615,2483655
2008-05-12,6152,6152.TW,上市,23.486229,23.557615,22.486814,22.843748,757844
2008-05-13,6152,6152.TW,上市,22.843748,23.557615,22.486814,23.307762,1162681
2008-05-14,6152,6152.TW,上市,23.307762,23.343456,22.700975,22.843748,386626
2008-05-15,6152,6152.TW,上市,23.164989,24.414255,22.950829,23.914549,2999157
2008-05-16,6152,6152.TW,上市,24.414255,25.52075,24.342871,24.628416,4230478
2008-05-19,6152,6152.TW,上市,24.98535,25.199511,23.771776,24.342871,4097400
2008-05-20,6152,6152.TW,上市,24.628416,25.128124,23.985935,24.271482,4037165
2008-05-21,6152,6152.TW,上市,24.414255,25.949072,24.414255,25.949072,8451152
2008-05-22,6152,6152.TW,上市,25.913378,26.163231,25.41367,25.627831,3580498
2008-05-23,6152,6152.TW,上市,25.984764,26.841406,24.98535,24.98535,6103376
2008-05-26,6152,6152.TW,上市,24.628416,24.913963,23.236376,23.343456,1924727
2008-05-27,6152,6152.TW,上市,24.057323,24.200096,23.022215,23.914549,1353192
2008-05-28,6152,6152.TW,上市,24.057323,24.414255,23.343456,23.379148,1173887
2008-05-29,6152,6152.TW,上市,23.379148,24.200096,23.379148,23.771776,1008591
2008-05-30,6152,6152.TW,上市,24.12871,24.12871,22.700975,23.414843,1042210
2008-06-02,6152,6152.TW,上市,22.843748,23.200682,22.415428,22.772362,760645
2008-06-03,6152,6152.TW,上市,22.486814,23.164989,22.486814,22.772362,353006
2008-06-04,6152,6152.TW,上市,22.843748,23.057909,22.129881,22.201267,677997
2008-06-05,6152,6152.TW,上市,22.272655,22.843748,21.772947,22.558203,568733
2008-06-06,6152,6152.TW,上市,22.700975,23.057909,22.558203,22.558203,568733
2008-06-09,6152,6152.TW,上市,21.844336,22.058495,21.701561,21.772947,778856
2008-06-10,6152,6152.TW,上市,21.772947,22.094189,21.416014,21.451708,452465
