date,symbol,yahoo_symbol,market,open,high,low,close,volume
2000-01-04,1538,1538.TW,上市,21.999537,23.116703,21.999537,23.116703,218768
2000-01-05,1538,1538.TW,上市,23.116703,24.663546,22.772953,24.663546,152439
2000-01-06,1538,1538.TW,上市,24.749472,25.436962,24.147921,25.436962,221103
2000-01-07,1538,1538.TW,上市,25.436962,25.780701,25.179159,25.5229,162912
2000-01-10,1538,1538.TW,上市,25.5229,25.5229,23.80418,24.405733,69924
2000-01-11,1538,1538.TW,上市,24.405733,24.405733,23.632318,24.061995,84644
2000-01-12,1538,1538.TW,上市,24.061995,24.061995,23.546379,23.976055,62837
2000-01-13,1538,1538.TW,上市,23.976055,24.405733,23.89012,24.319796,105957
2000-01-14,1538,1538.TW,上市,24.319796,24.491671,23.374504,23.89012,66328
2000-01-17,1538,1538.TW,上市,23.89012,23.976055,23.460442,23.80418,65165
2000-01-18,1538,1538.TW,上市,23.288567,23.80418,23.288567,23.546379,67492
2000-01-19,1538,1538.TW,上市,23.546379,23.546379,23.202629,23.374504,74474
2000-01-20,1538,1538.TW,上市,23.374504,23.632318,23.374504,23.632318,66740
2000-01-21,1538,1538.TW,上市,23.632318,23.632318,22.601089,23.460442,62837
2000-01-24,1538,1538.TW,上市,23.460442,23.80418,23.202629,23.80418,126839
2000-01-25,1538,1538.TW,上市,23.80418,25.265085,23.80418,24.491671,232884
2000-01-26,1538,1538.TW,上市,24.921347,25.351025,24.491671,25.093224,261838
2000-01-27,1538,1538.TW,上市,25.265085,25.694775,24.921347,25.694775,244946
2000-01-28,1538,1538.TW,上市,25.780701,27.327555,25.780701,26.640064,550912
2000-01-31,1538,1538.TW,上市,25.694775,25.694775,24.491671,25.436962,132657
2000-02-01,1538,1538.TW,上市,25.780701,25.780701,24.577608,24.835409,161748
2000-02-02,1538,1538.TW,上市,24.835409,24.835409,24.835409,24.835409,0
2000-02-03,1538,1538.TW,上市,24.835409,24.835409,24.835409,24.835409,0
2000-02-04,1538,1538.TW,上市,24.835409,24.835409,24.835409,24.835409,0
2000-02-07,1538,1538.TW,上市,24.835409,24.835409,24.835409,24.835409,0
2000-02-08,1538,1538.TW,上市,24.835409,24.835409,24.835409,24.835409,0
2000-02-09,1538,1538.TW,上市,24.061995,25.179159,24.061995,24.921347,143130
2000-02-10,1538,1538.TW,上市,25.093224,25.093224,24.491671,24.921347,100633
2000-02-11,1538,1538.TW,上市,25.007284,26.640064,25.007284,26.640064,379469
2000-02-14,1538,1538.TW,上市,28.272846,28.44471,27.929094,28.44471,464302
2000-02-15,1538,1538.TW,上市,29.647814,30.07749,26.726004,27.757233,525974
2000-02-16,1538,1538.TW,上市,28.358784,29.647814,27.929094,29.389999,466628
2000-02-17,1538,1538.TW,上市,29.561876,29.561876,28.44471,29.389999,187349
2000-02-18,1538,1538.TW,上市,29.389999,29.475939,28.530647,29.389999,197822
2000-02-21,1538,1538.TW,上市,32.054008,32.65556,30.936844,31.71027,651649
2000-02-22,1538,1538.TW,上市,31.71027,31.71027,29.561876,29.561876,198998
2000-02-23,1538,1538.TW,上市,29.561876,29.561876,27.585356,28.44471,205968
2000-02-24,1538,1538.TW,上市,28.44471,28.530647,27.327555,28.100971,113573
