date,symbol,yahoo_symbol,market,open,high,low,close,volume
2013-12-25,2115,2115.TW,上市,28.419931,35.524914,28.419931,35.118916,9902979
2013-12-26,2115,2115.TW,上市,32.479919,33.833252,31.126591,31.904757,4975874
2013-12-27,2115,2115.TW,上市,32.107758,32.209255,30.043926,30.923592,3759614
2013-12-30,2115,2115.TW,上市,31.126591,31.83709,30.483759,31.092758,2717740
2013-12-31,2115,2115.TW,上市,31.464924,31.498756,30.585258,30.619093,1557639
2014-01-02,2115,2115.TW,上市,30.619093,31.092758,30.145428,30.246927,1366998
2014-01-03,2115,2115.TW,上市,30.111593,30.382259,29.028931,29.096596,1721679
2014-01-06,2115,2115.TW,上市,29.096596,29.468761,27.100433,27.100433,1842861
2014-01-07,2115,2115.TW,上市,28.081598,28.995096,27.6756,28.995096,926603
2014-01-08,2115,2115.TW,上市,29.739428,30.449926,29.502596,29.77326,2735474
2014-01-09,2115,2115.TW,上市,28.82593,29.570263,28.250765,28.250765,910347
2014-01-10,2115,2115.TW,上市,28.792097,29.028931,28.081598,28.284597,588178
2014-01-13,2115,2115.TW,上市,28.690598,30.246927,28.284597,29.739428,1915275
2014-01-14,2115,2115.TW,上市,29.299597,29.299597,28.419931,28.758265,1018229
2014-01-15,2115,2115.TW,上市,28.758265,28.961264,28.419931,28.555264,518720
2014-01-16,2115,2115.TW,上市,28.555264,28.792097,27.743265,27.844767,622168
2014-01-17,2115,2115.TW,上市,27.844767,28.047766,27.540268,27.607933,524631
2014-01-20,2115,2115.TW,上市,28.013931,28.013931,27.100433,27.438766,534976
2014-01-21,2115,2115.TW,上市,27.472601,27.709433,27.100433,27.134268,409360
2014-01-22,2115,2115.TW,上市,27.134268,27.472601,27.066601,27.201935,375370
2014-01-23,2115,2115.TW,上市,27.472601,27.472601,27.066601,27.201935,356158
2014-01-24,2115,2115.TW,上市,27.201935,27.201935,25.950104,26.389936,514286
2014-01-27,2115,2115.TW,上市,26.11927,26.11927,25.71327,25.780937,305912
2014-02-05,2115,2115.TW,上市,25.577938,26.795935,25.374937,26.186935,406404
2014-02-06,2115,2115.TW,上市,26.254602,26.389936,26.085438,26.11927,168473
2014-02-07,2115,2115.TW,上市,26.728268,26.863602,26.322269,26.762102,251232
2014-02-10,2115,2115.TW,上市,26.998934,27.066601,26.592936,26.592936,230542
2014-02-11,2115,2115.TW,上市,26.592936,26.592936,25.916269,26.457602,246798
2014-02-12,2115,2115.TW,上市,26.525269,26.525269,26.051603,26.11927,270444
2014-02-13,2115,2115.TW,上市,26.11927,27.743265,26.051603,27.134268,620691
2014-02-14,2115,2115.TW,上市,27.337267,27.337267,26.491436,26.491436,348769
2014-02-17,2115,2115.TW,上市,26.592936,26.728268,26.186935,26.389936,175862
2014-02-18,2115,2115.TW,上市,26.254602,26.728268,26.254602,26.525269,192118
2014-02-19,2115,2115.TW,上市,26.660603,28.352264,26.660603,28.352264,1405422
2014-02-20,2115,2115.TW,上市,29.164263,29.434929,28.453764,28.893597,2182763
2014-02-21,2115,2115.TW,上市,28.995096,29.164263,28.115433,28.622931,944337
2014-02-24,2115,2115.TW,上市,28.961264,28.961264,28.555264,28.893597,867489
2014-02-25,2115,2115.TW,上市,29.096596,30.78826,28.961264,30.449926,2238921
2014-02-26,2115,2115.TW,上市,30.449926,31.058926,29.874762,30.551426,1749757
2014-02-27,2115,2115.TW,上市,30.551426,31.329592,30.145428,30.145428,1975866
2014-03-03,2115,2115.TW,上市,30.043926,30.043926,29.434929,29.502596,759607
2014-03-04,2115,2115.TW,上市,29.265762,30.78826,29.265762,30.111593,1532516
2014-03-05,2115,2115.TW,上市,30.652925,30.855925,30.483759,30.551426,1426111
2014-03-06,2115,2115.TW,上市,30.991259,32.14159,30.78826,31.667923,2967494
2014-03-07,2115,2115.TW,上市,31.803255,32.073921,30.449926,30.855925,1965521
2014-03-10,2115,2115.TW,上市,30.991259,32.615253,30.652925,32.040089,2200497
2014-03-11,2115,2115.TW,上市,32.682922,32.682922,32.006256,32.344589,1266505
2014-03-12,2115,2115.TW,上市,32.27692,32.479919,31.532591,32.073921,855667
2014-03-13,2115,2115.TW,上市,32.27692,33.359585,32.073921,32.682922,1511826
2014-03-14,2115,2115.TW,上市,32.479919,33.190418,32.14159,32.412254,948770
2014-03-17,2115,2115.TW,上市,32.615253,32.818253,31.83709,32.006256,761085
2014-03-18,2115,2115.TW,上市,32.479919,32.479919,31.63409,31.667923,725617
2014-03-19,2115,2115.TW,上市,31.667923,31.803255,30.855925,31.092758,567489
2014-03-20,2115,2115.TW,上市,30.111593,31.092758,30.111593,30.720592,326601
2014-03-21,2115,2115.TW,上市,30.78826,30.991259,29.77326,30.111593,333990
2014-03-24,2115,2115.TW,上市,29.77326,29.908594,29.096596,29.502596,577833
2014-03-25,2115,2115.TW,上市,29.434929,31.126591,29.434929,31.126591,564533
2014-03-26,2115,2115.TW,上市,32.006256,32.006256,30.68676,30.855925,232020
2014-03-27,2115,2115.TW,上市,30.923592,30.923592,30.314592,30.619093,369459
2014-03-28,2115,2115.TW,上市,30.619093,30.923592,29.976261,30.314592,372414
2014-03-31,2115,2115.TW,上市,30.449926,30.855925,30.010094,30.111593,308867
2014-04-01,2115,2115.TW,上市,30.077761,30.585258,30.043926,30.246927,282266
2014-04-02,2115,2115.TW,上市,30.585258,30.585258,30.111593,30.416094,255665
2014-04-03,2115,2115.TW,上市,30.517593,30.652925,30.111593,30.382259,560099
