date,symbol,yahoo_symbol,market,open,high,low,close,volume
2007-12-31,8255,8255.TWO,上櫃,106.705688,115.904449,106.705688,113.328796,688951
2008-01-02,8255,8255.TWO,上櫃,113.328796,118.48011,111.856995,114.800598,429405
2008-01-03,8255,8255.TWO,上櫃,113.328796,114.064697,111.121094,111.856995,351949
2008-01-04,8255,8255.TWO,上櫃,110.385193,118.48011,110.385193,118.48011,626442
2008-01-07,8255,8255.TWO,上櫃,114.800598,117.008308,110.385193,113.328796,554422
2008-01-08,8255,8255.TWO,上櫃,113.328796,116.640358,112.592896,114.432648,309824
2008-01-09,8255,8255.TWO,上櫃,114.064697,117.008308,112.592896,115.536507,320695
2008-01-10,8255,8255.TWO,上櫃,116.272408,117.008308,114.800598,114.800598,158988
2008-01-11,8255,8255.TWO,上櫃,115.536507,116.272408,113.328796,113.696747,165783
2008-01-14,8255,8255.TWO,上櫃,116.272408,117.008308,113.696747,113.696747,225573
2008-01-15,8255,8255.TWO,上櫃,116.640358,116.640358,113.696747,113.696747,186166
2008-01-16,8255,8255.TWO,上櫃,110.385193,116.640358,110.385193,113.328796,468812
2008-01-17,8255,8255.TWO,上櫃,113.328796,115.536507,108.913391,110.753143,218779
2008-01-18,8255,8255.TWO,上櫃,107.441589,112.592896,106.705688,111.856995,149476
2008-01-21,8255,8255.TWO,上櫃,108.913391,112.592896,108.913391,111.121094,210626
2008-01-22,8255,8255.TWO,上櫃,103.394135,105.969788,103.394135,103.394135,216061
2008-01-23,8255,8255.TWO,上櫃,103.394135,103.394135,96.403069,96.403069,298953
2008-01-24,8255,8255.TWO,上櫃,93.827415,96.403069,89.779961,92.723564,877835
2008-01-25,8255,8255.TWO,上櫃,94.195366,98.610771,89.41201,98.610771,502784
2008-01-28,8255,8255.TWO,上櫃,97.87487,97.87487,93.827415,94.931267,277211
2008-01-29,8255,8255.TWO,上櫃,94.195366,96.403069,92.723564,96.403069,125016
2008-01-30,8255,8255.TWO,上櫃,96.403069,97.87487,94.563316,97.87487,173936
