date,symbol,yahoo_symbol,market,open,high,low,close,volume
2014-12-24,6494,6494.TWO,上櫃,30.700909,39.598305,30.309814,30.700909,58175
2014-12-25,6494,6494.TWO,上櫃,32.255508,32.402168,30.788904,32.255508,33143
2014-12-26,6494,6494.TWO,上櫃,33.526566,34.406528,32.06974,33.526566,94619
2014-12-29,6494,6494.TWO,上櫃,31.874191,32.754154,31.580872,31.874191,89492
2014-12-30,6494,6494.TWO,上櫃,31.874191,31.874191,31.580872,31.874191,14574
2014-12-31,6494,6494.TWO,上櫃,31.864414,31.864414,31.776419,31.864414,8386
2015-01-05,6494,6494.TWO,上櫃,31.864414,31.864414,31.590649,31.864414,20455
2015-01-06,6494,6494.TWO,上櫃,31.580872,31.971966,31.580872,31.580872,9307
2015-01-07,6494,6494.TWO,上櫃,31.854637,31.854637,31.84486,31.854637,3375
2015-01-08,6494,6494.TWO,上櫃,31.678644,31.854637,31.678644,31.678644,1534
2015-01-09,6494,6494.TWO,上櫃,31.297329,31.864414,31.297329,31.297329,9204
2015-01-12,6494,6494.TWO,上櫃,31.385324,31.385324,31.101782,31.385324,5113
2015-01-13,6494,6494.TWO,上櫃,31.531984,31.531984,31.385324,31.531984,8120
2015-01-14,6494,6494.TWO,上櫃,31.297329,31.678644,31.297329,31.297329,21682
2015-01-15,6494,6494.TWO,上櫃,30.397812,30.80846,30.397812,30.397812,4091
2015-01-16,6494,6494.TWO,上櫃,30.309814,30.505362,30.309814,30.309814,11250
2015-01-19,6494,6494.TWO,上櫃,30.309814,30.446697,30.114267,30.309814,12273
2015-01-20,6494,6494.TWO,上櫃,29.625401,30.446697,28.794325,29.625401,132766
2015-01-21,6494,6494.TWO,上櫃,29.576513,29.742727,29.165865,29.576513,53184
2015-01-22,6494,6494.TWO,上櫃,29.625401,29.791615,29.263638,29.625401,18645
2015-01-23,6494,6494.TWO,上櫃,29.820948,29.820948,29.615622,29.820948,45001
2015-01-26,6494,6494.TWO,上櫃,29.781837,30.495584,29.58629,29.781837,62389
2015-01-27,6494,6494.TWO,上櫃,29.654732,30.006718,29.537403,29.654732,33955
2015-01-28,6494,6494.TWO,上櫃,29.73295,29.73295,29.615622,29.73295,17387
2015-01-29,6494,6494.TWO,上櫃,29.341856,29.625401,29.341856,29.341856,29660
2015-01-30,6494,6494.TWO,上櫃,30.114267,30.300037,29.332079,30.114267,77472
