date,symbol,yahoo_symbol,market,open,high,low,close,volume
2010-06-24,3664,3664.TWO,上櫃,59.0,59.0,53.099998,55.5,2573000
2010-06-25,3664,3664.TWO,上櫃,53.0,53.099998,49.5,49.900002,1495000
2010-06-28,3664,3664.TWO,上櫃,49.900002,49.900002,49.900002,49.900002,0
2010-06-29,3664,3664.TWO,上櫃,48.5,49.150002,47.900002,47.950001,648000
2010-06-30,3664,3664.TWO,上櫃,47.799999,48.200001,46.5,47.099998,1348000
2010-07-01,3664,3664.TWO,上櫃,43.900002,45.900002,43.849998,43.849998,308000
2010-07-02,3664,3664.TWO,上櫃,43.0,43.0,40.799999,40.799999,877000
2010-07-05,3664,3664.TWO,上櫃,40.849998,41.700001,39.049999,39.25,304000
2010-07-06,3664,3664.TWO,上櫃,39.200001,41.799999,39.200001,41.0,273000
2010-07-07,3664,3664.TWO,上櫃,41.200001,41.700001,41.0,41.099998,193000
2010-07-08,3664,3664.TWO,上櫃,41.599998,42.650002,41.299999,41.299999,189000
2010-07-09,3664,3664.TWO,上櫃,41.950001,41.950001,40.599998,41.200001,139000
2010-07-12,3664,3664.TWO,上櫃,40.700001,41.5,40.599998,40.700001,103000
2010-07-13,3664,3664.TWO,上櫃,41.200001,41.200001,39.5,40.0,114000
2010-07-14,3664,3664.TWO,上櫃,40.200001,40.5,40.099998,40.099998,119000
2010-07-15,3664,3664.TWO,上櫃,40.5,41.5,40.450001,40.75,145000
2010-07-16,3664,3664.TWO,上櫃,40.599998,40.700001,40.299999,40.5,90000
2010-07-19,3664,3664.TWO,上櫃,40.5,40.950001,40.299999,40.299999,52000
2010-07-20,3664,3664.TWO,上櫃,40.400002,41.150002,40.049999,40.849998,86000
2010-07-21,3664,3664.TWO,上櫃,40.5,41.650002,40.5,41.5,146000
2010-07-22,3664,3664.TWO,上櫃,41.299999,41.599998,40.900002,40.950001,71000
2010-07-23,3664,3664.TWO,上櫃,41.299999,41.400002,41.0,41.099998,117000
2010-07-26,3664,3664.TWO,上櫃,41.200001,41.200001,40.5,40.5,159000
