date,symbol,yahoo_symbol,market,adj_open,adj_high,adj_low,adj_close,volume,adjustment_factor
2007-12-18,5211,5211.TWO,上櫃,17.654679,18.320894,17.543644,17.710197,455696,0.5883560895
2007-12-19,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-20,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-21,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-24,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-25,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-26,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-27,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-28,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2007-12-31,5211,5211.TWO,上櫃,17.710197,17.710197,17.710197,17.710197,0,0.5883560895
2008-01-02,5211,5211.TWO,上櫃,22.179382,22.179382,22.179382,22.179382,23314,0.5883560353
2008-01-03,5211,5211.TWO,上櫃,23.706123,23.706123,23.317499,23.706123,536238,0.5883560115
2008-01-04,5211,5211.TWO,上櫃,23.400773,23.400773,22.068345,22.151621,285075,0.5883559631
2008-01-07,5211,5211.TWO,上櫃,20.819193,21.096783,20.624882,20.624882,270238,0.5883559755
2008-01-08,5211,5211.TWO,上櫃,20.874715,20.874715,19.347973,19.347973,211952,0.5883560384
2008-01-09,5211,5211.TWO,上櫃,18.598477,20.486083,18.598477,20.125217,247983,0.5883559016
2008-01-10,5211,5211.TWO,上櫃,20.208499,20.430569,18.737274,18.876068,296732,0.5883559865
2008-01-11,5211,5211.TWO,上櫃,19.181415,19.29245,18.876065,18.903826,104916,0.5883558826
2008-01-14,5211,5211.TWO,上櫃,19.042619,19.042619,18.209852,18.903826,82661,0.5883558826
2008-01-15,5211,5211.TWO,上櫃,18.931587,19.62556,18.598479,18.931587,87960,0.5883559673
2008-01-16,5211,5211.TWO,上櫃,18.320888,18.903826,17.987781,18.903826,218310,0.5883558826
2008-01-17,5211,5211.TWO,上櫃,18.903826,19.264692,18.431923,18.903826,110215,0.5883558826
2008-01-18,5211,5211.TWO,上櫃,18.598478,18.792791,18.265371,18.792791,109155,0.5883559347
2008-01-21,5211,5211.TWO,上櫃,18.765031,19.042621,17.488122,18.681755,127171,0.5883559274
2008-01-22,5211,5211.TWO,上櫃,17.377089,17.488125,17.377089,17.377089,103856,0.5883560308
2008-01-23,5211,5211.TWO,上櫃,17.377087,17.377087,16.183454,16.655355,831911,0.5883559835
2008-01-24,5211,5211.TWO,上櫃,16.932945,17.210534,16.544319,16.655355,256461,0.5883559835
2008-01-25,5211,5211.TWO,上櫃,16.655352,17.21053,16.655352,16.932941,115513,0.5883558567
2008-01-28,5211,5211.TWO,上櫃,16.655355,16.932945,16.100176,16.655355,91139,0.5883559835
2008-01-29,5211,5211.TWO,上櫃,17.82123,17.82123,17.488123,17.82123,649632,0.5883559703
2008-01-30,5211,5211.TWO,上櫃,17.488122,17.821229,17.266051,17.404844,402708,0.5883559293
2008-01-31,5211,5211.TWO,上櫃,16.9607,17.377083,16.932941,16.932941,160023,0.5883558567
2008-02-01,5211,5211.TWO,上櫃,17.016221,17.765711,17.016221,17.04398,76302,0.5883559698
2008-02-12,5211,5211.TWO,上櫃,17.04398,17.04398,16.488802,16.655355,31792,0.5883559835
2008-02-13,5211,5211.TWO,上櫃,17.765712,17.765712,16.655355,17.599159,37091,0.5883559814
2008-02-14,5211,5211.TWO,上櫃,17.987785,18.209856,17.321571,18.043303,72063,0.5883560216
2008-02-15,5211,5211.TWO,上櫃,17.54364,18.043301,17.488123,17.987783,68884,0.5883559685
2008-02-18,5211,5211.TWO,上櫃,17.987783,18.320891,17.82123,17.82123,86900,0.5883559703
2008-02-19,5211,5211.TWO,上櫃,17.987787,18.598483,17.876751,18.376411,94318,0.5883560783
2008-02-20,5211,5211.TWO,上櫃,17.987784,18.376408,17.321569,17.488123,49808,0.5883559739
2008-02-21,5211,5211.TWO,上櫃,17.488123,18.265372,17.488123,17.987783,98557,0.5883559685
2008-02-22,5211,5211.TWO,上櫃,17.82123,18.209855,17.82123,18.07106,50868,0.5883559859
2008-02-25,5211,5211.TWO,上櫃,18.32089,19.320211,18.32089,19.320211,219370,0.5883559556
2008-02-26,5211,5211.TWO,上櫃,19.875392,20.264017,19.431248,19.903149,314748,0.5883560003
2008-02-27,5211,5211.TWO,上櫃,19.930908,20.09746,19.431246,19.653318,116573,0.5883559526
2008-02-29,5211,5211.TWO,上櫃,19.597801,19.597801,19.070381,19.320211,81601,0.5883559556
2008-03-03,5211,5211.TWO,上櫃,18.876067,18.876067,18.598479,18.653997,29673,0.5883559618
2008-03-04,5211,5211.TWO,上櫃,18.820552,19.37573,18.820552,19.153658,43450,0.5883559916
2008-03-05,5211,5211.TWO,上櫃,19.153657,19.209177,18.876067,18.931587,49808,0.5883559673
2008-03-06,5211,5211.TWO,上櫃,19.098138,20.236256,19.098138,20.236256,81601,0.5883559314
2008-03-07,5211,5211.TWO,上櫃,21.624203,21.624203,20.541606,20.819193,213011,0.5883559748
2008-03-10,5211,5211.TWO,上櫃,20.152979,20.541606,19.486765,19.486765,71003,0.588355988
2008-03-11,5211,5211.TWO,上櫃,19.209178,19.819872,19.209178,19.431248,23314,0.5883559965
2008-03-12,5211,5211.TWO,上櫃,19.736596,20.375052,19.403489,19.431248,139888,0.5883559965
2008-03-13,5211,5211.TWO,上櫃,19.431248,19.764355,18.931588,19.098141,39211,0.5883560003
2008-03-14,5211,5211.TWO,上櫃,19.597804,19.597804,18.987107,19.014866,51928,0.5883560429
2008-03-17,5211,5211.TWO,上櫃,18.709516,19.597802,18.515203,18.876068,46629,0.5883559865
2008-03-18,5211,5211.TWO,上櫃,18.87607,18.87607,18.542964,18.737276,36031,0.5883560385
2008-03-19,5211,5211.TWO,上櫃,19.014866,19.209179,18.737276,18.737276,28613,0.5883560385
2008-03-20,5211,5211.TWO,上櫃,18.654,18.87607,18.237615,18.737276,21195,0.5883560385
2008-03-21,5211,5211.TWO,上櫃,18.737275,18.987106,18.737275,18.820553,50868,0.5883560199
2008-03-24,5211,5211.TWO,上櫃,19.431248,19.764356,18.987106,18.987106,71003,0.5883560178
2008-03-25,5211,5211.TWO,上櫃,19.320212,20.264016,19.153657,19.736595,184398,0.5883559686
2008-03-26,5211,5211.TWO,上櫃,19.736593,19.736593,19.264692,19.459003,48748,0.5883559057
2008-03-27,5211,5211.TWO,上櫃,18.931588,19.431248,18.931588,19.431248,45569,0.5883559965
2008-03-28,5211,5211.TWO,上櫃,19.708838,20.15298,19.597803,19.597803,80541,0.5883560182
2008-03-31,5211,5211.TWO,上櫃,19.764355,19.93091,19.708838,19.93091,46629,0.5883560143
2008-04-01,5211,5211.TWO,上櫃,20.097462,21.291097,19.93091,20.264017,152605,0.5883560105
2008-04-02,5211,5211.TWO,上櫃,20.26402,20.985752,20.26402,20.430573,69944,0.5883560958
2008-04-03,5211,5211.TWO,上櫃,20.652641,21.041265,20.264016,20.486086,77362,0.5883559779
2008-04-07,5211,5211.TWO,上櫃,20.819194,20.819194,20.486087,20.597124,63585,0.5883560068
2008-04-08,5211,5211.TWO,上櫃,20.708158,21.235579,20.652641,20.708158,116573,0.5883559907
2008-04-09,5211,5211.TWO,上櫃,20.708158,21.1523,20.652641,20.763676,66764,0.5883559827
2008-04-10,5211,5211.TWO,上櫃,20.874717,21.985073,20.874717,21.374376,196055,0.5883560892
2008-04-11,5211,5211.TWO,上櫃,21.651963,21.651963,20.708159,20.874714,86900,0.5883560111
2008-04-14,5211,5211.TWO,上櫃,20.430568,20.541605,20.208498,20.208498,50868,0.5883559632
2008-04-15,5211,5211.TWO,上櫃,20.541608,20.763678,20.18074,20.18074,50868,0.5883560605
2008-04-16,5211,5211.TWO,上櫃,19.986425,20.180736,19.986425,20.09746,110215,0.5883559335
2008-04-17,5211,5211.TWO,上櫃,20.541607,21.485409,20.541607,21.485409,304151,0.588356021
2008-04-18,5211,5211.TWO,上櫃,21.485406,21.485406,20.819192,20.930229,90079,0.5883559496
2008-04-21,5211,5211.TWO,上櫃,21.096783,21.096783,20.708158,20.902472,58286,0.5883559803
2008-04-22,5211,5211.TWO,上櫃,22.345934,22.345934,22.345934,22.345934,129290,0.5883559537
2008-04-23,5211,5211.TWO,上櫃,22.540246,23.595087,21.651961,22.762318,689903,0.588355965
2008-04-24,5211,5211.TWO,上櫃,22.984387,23.261977,22.207136,22.207136,217250,0.5883559052
2008-04-25,5211,5211.TWO,上櫃,22.318178,22.734562,22.318178,22.318178,130350,0.5883560328
2008-04-28,5211,5211.TWO,上櫃,22.262657,22.262657,21.485406,21.790754,63585,0.5883559439
2008-04-29,5211,5211.TWO,上櫃,21.790755,22.484728,21.707479,21.762997,135649,0.5883559735
2008-04-30,5211,5211.TWO,上櫃,21.818512,22.207136,21.707477,22.207136,93258,0.5883559052
2008-05-02,5211,5211.TWO,上櫃,22.207138,23.484049,21.985068,23.095425,205593,0.5883559624
2008-05-05,5211,5211.TWO,上櫃,23.039909,23.317498,22.817836,22.873354,129290,0.5883559997
2008-05-06,5211,5211.TWO,上櫃,23.095425,23.095425,22.7068,22.762318,50868,0.588355965
