date,symbol,yahoo_symbol,market,adj_open,adj_high,adj_low,adj_close,volume,adjustment_factor
2007-12-31,5512,5512.TWO,上櫃,3.918563,3.950421,3.822988,3.934492,5192337,0.5249721011
2008-01-02,5512,5512.TWO,上櫃,3.934491,4.205286,3.902633,4.061924,6795683,0.5249719795
2008-01-03,5512,5512.TWO,上櫃,3.982278,4.109711,3.95042,4.045995,3345111,0.5249719837
2008-01-04,5512,5512.TWO,上櫃,4.014137,4.31679,4.014137,4.31679,8598418,0.5249720203
2008-01-07,5512,5512.TWO,上櫃,4.31679,4.380507,4.141571,4.173429,6098648,0.5249721089
2008-01-08,5512,5512.TWO,上櫃,4.269003,4.428294,4.173428,4.221216,4404670,0.5249720362
2008-01-09,5512,5512.TWO,上櫃,4.1575,4.269003,4.077854,4.109712,3116061,0.5249720922
2008-01-10,5512,5512.TWO,上櫃,4.173428,4.300861,4.157499,4.221216,2621710,0.5249720362
2008-01-11,5512,5512.TWO,上櫃,4.300861,4.364577,4.237145,4.300861,3256127,0.5249720215
2008-01-14,5512,5512.TWO,上櫃,4.587585,4.587585,4.476082,4.587585,10162216,0.5249720758
2008-01-15,5512,5512.TWO,上櫃,4.651301,4.906168,4.651301,4.906168,15071125,0.524972014
2008-01-16,5512,5512.TWO,上櫃,4.969884,5.240678,4.906167,5.0336,17478617,0.524971994
2008-01-17,5512,5512.TWO,上櫃,5.097317,5.272537,4.746877,4.842451,8408917,0.5249720257
2008-01-18,5512,5512.TWO,上櫃,4.715018,5.176962,4.651301,5.176962,6691869,0.5249720176
2008-01-21,5512,5512.TWO,上櫃,5.384042,5.527403,5.384042,5.511475,11396447,0.5249721013
2008-01-22,5512,5512.TWO,上櫃,5.129176,5.4159,5.129176,5.129176,7637728,0.5249720741
2008-01-23,5512,5512.TWO,上櫃,5.256608,5.352183,4.778735,4.85838,13243673,0.5249720762
2008-01-24,5512,5512.TWO,上櫃,5.0336,5.192892,4.715018,5.065459,10463770,0.5249720367
2008-01-25,5512,5512.TWO,上櫃,5.256607,5.352182,5.081387,5.240678,13744616,0.5249719614
2008-01-28,5512,5512.TWO,上櫃,5.256607,5.320324,4.985813,5.0336,6746248,0.524971994
2008-01-29,5512,5512.TWO,上櫃,5.192892,5.192892,4.68316,4.778734,6446342,0.5249720404
2008-01-30,5512,5512.TWO,上櫃,4.810593,4.969885,4.762806,4.85838,4098172,0.5249720762
2008-01-31,5512,5512.TWO,上櫃,4.778735,4.842452,4.555728,4.683161,5507074,0.524972162
2008-02-01,5512,5512.TWO,上櫃,4.778735,5.001742,4.746877,5.001742,10824647,0.5249721009
2008-02-12,5512,5512.TWO,上櫃,5.0336,5.336253,5.017671,5.336253,8605009,0.5249719921
2008-02-13,5512,5512.TWO,上櫃,5.463686,5.654836,5.384041,5.527403,16339961,0.5249720549
2008-02-14,5512,5512.TWO,上櫃,5.702622,5.766339,5.543331,5.638906,13335952,0.5249719904
2008-02-15,5512,5512.TWO,上櫃,5.638907,5.798199,5.511474,5.622978,8491308,0.5249720825
2008-02-18,5512,5512.TWO,上櫃,5.622978,5.670766,5.527403,5.59112,8883494,0.5249720421
2008-02-19,5512,5512.TWO,上櫃,5.718553,5.845986,5.670766,5.702623,7369131,0.5249720707
2008-02-20,5512,5512.TWO,上櫃,5.750411,5.76634,5.559261,5.559261,4686451,0.5249720484
2008-02-21,5512,5512.TWO,上櫃,5.670766,5.718553,5.575191,5.622978,4457401,0.5249720825
2008-02-22,5512,5512.TWO,上櫃,5.57519,5.877843,5.495544,5.830056,7248839,0.5249720071
2008-02-25,5512,5512.TWO,上櫃,5.92563,6.11678,5.877844,6.005276,9906801,0.5249720235
2008-02-26,5512,5512.TWO,上櫃,6.084922,6.244213,6.005276,6.180497,11808406,0.524972039
2008-02-27,5512,5512.TWO,上櫃,6.371646,6.530938,6.323859,6.49908,19235212,0.5249720712
2008-02-29,5512,5512.TWO,上櫃,6.626513,6.945095,6.483151,6.865449,26067148,0.5249720958
2008-03-03,5512,5512.TWO,上櫃,6.785803,7.247747,6.785803,7.168101,27321153,0.5249719854
2008-03-04,5512,5512.TWO,上櫃,7.263676,7.327392,7.00881,7.168101,17532995,0.5249719854
2008-03-05,5512,5512.TWO,上櫃,7.231819,7.375181,7.088457,7.184032,25523361,0.5249720876
2008-03-06,5512,5512.TWO,上櫃,7.327393,7.343322,6.897306,6.913236,20270054,0.5249720171
2008-03-07,5512,5512.TWO,上櫃,6.83359,7.168102,6.83359,7.008811,22085971,0.5249720041
2008-03-10,5512,5512.TWO,上櫃,7.072527,7.104385,6.530937,6.530937,17834550,0.5249720292
2008-03-11,5512,5512.TWO,上櫃,6.371646,6.865449,6.371646,6.785804,8951055,0.524972069
2008-03-12,5512,5512.TWO,上櫃,6.913237,6.976954,6.546868,6.562797,9956236,0.5249721383
2008-03-13,5512,5512.TWO,上櫃,6.674299,6.690228,6.323859,6.355717,8158445,0.5249720123
2008-03-14,5512,5512.TWO,上櫃,6.371645,6.578725,6.339788,6.371645,8343003,0.5249720135
2008-03-17,5512,5512.TWO,上櫃,6.467221,6.817662,6.339789,6.785804,16732146,0.524972069
2008-03-18,5512,5512.TWO,上櫃,6.785803,7.008811,6.594653,7.008811,17183654,0.5249720041
2008-03-19,5512,5512.TWO,上櫃,7.19996,7.247748,6.84952,6.929165,31142489,0.5249720508
2008-03-20,5512,5512.TWO,上櫃,6.992881,7.391109,6.992881,7.311463,32269610,0.524972004
2008-03-21,5512,5512.TWO,上櫃,7.486684,7.534472,7.104385,7.231818,34223946,0.5249720124
2008-03-24,5512,5512.TWO,上櫃,7.725621,7.725621,7.56633,7.725621,43631453,0.5249720548
2008-03-25,5512,5512.TWO,上櫃,7.725622,8.076062,7.582259,7.709693,33139668,0.524972088
2008-03-26,5512,5512.TWO,上櫃,7.709693,8.187566,7.709693,8.155708,31622010,0.5249720982
2008-03-27,5512,5512.TWO,上櫃,8.28314,8.378715,8.107919,8.235353,24641768,0.5249720291
2008-03-28,5512,5512.TWO,上櫃,8.219424,8.314999,7.677834,7.9327,24465449,0.5249720617
2008-03-31,5512,5512.TWO,上櫃,7.996416,8.076061,7.709691,7.773407,16051589,0.5249719851
2008-04-01,5512,5512.TWO,上櫃,7.773408,7.821195,7.231818,7.231818,17165527,0.5249720124
2008-04-02,5512,5512.TWO,上櫃,7.231817,7.614115,6.945093,7.454824,21805839,0.5249719195
2008-04-03,5512,5512.TWO,上櫃,7.391109,7.677833,7.263677,7.486684,12825122,0.5249720156
2008-04-07,5512,5512.TWO,上櫃,7.550402,7.996418,7.550402,7.996418,22939552,0.5249721168
2008-04-08,5512,5512.TWO,上櫃,7.948629,8.410574,7.709693,8.171638,22547366,0.5249720959
2008-04-09,5512,5512.TWO,上櫃,8.203494,8.617651,8.060131,8.410572,23770062,0.5249719809
2008-04-10,5512,5512.TWO,上櫃,8.538005,8.98402,8.299068,8.98402,31814807,0.5249719833
2008-04-11,5512,5512.TWO,上櫃,8.98402,9.238886,8.856587,8.952162,40988321,0.524971987
2008-04-14,5512,5512.TWO,上櫃,9.334462,9.573399,9.270746,9.573399,44611916,0.5249720634
2008-04-15,5512,5512.TWO,上櫃,10.035344,10.242422,9.55747,10.003486,97965613,0.5249720984
2008-04-16,5512,5512.TWO,上櫃,10.194634,10.688435,10.003484,10.672506,58618539,0.5249719921
2008-04-17,5512,5512.TWO,上櫃,10.003485,10.64065,10.003485,10.385784,34085527,0.5249720625
