date,symbol,yahoo_symbol,market,adj_open,adj_high,adj_low,adj_close,volume,adjustment_factor
2007-12-31,8906,8906.TWO,上櫃,8.494307,8.577178,8.494307,8.577178,4898,0.9665398054
2008-01-02,8906,8906.TWO,上櫃,8.632426,8.950099,8.563366,8.922475,31490,0.9665398387
2008-01-03,8906,8906.TWO,上櫃,8.922475,9.253961,8.701486,8.894852,16794,0.9665398663
2008-01-04,8906,8906.TWO,上櫃,8.701485,9.115842,8.701485,8.950099,31490,0.9665398148
2008-01-07,8906,8906.TWO,上櫃,8.770545,8.894852,8.563366,8.894852,15395,0.9665398663
2008-01-08,8906,8906.TWO,上櫃,8.825791,8.825791,8.590989,8.590989,11896,0.9665397375
2008-01-09,8906,8906.TWO,上櫃,8.632425,8.701485,8.563365,8.673862,53183,0.9665397671
2008-01-10,8906,8906.TWO,上櫃,8.425247,8.825791,8.425247,8.825791,16095,0.9665397758
2008-01-11,8906,8906.TWO,上櫃,8.632426,8.632426,8.632426,8.632426,35689,0.9665398592
2008-01-14,8906,8906.TWO,上櫃,8.632426,8.632426,8.632426,8.632426,13995,0.9665398592
2008-01-15,8906,8906.TWO,上櫃,8.632426,8.977723,8.632426,8.936288,21693,0.96653988
2008-01-16,8906,8906.TWO,上櫃,8.701485,8.701485,8.701485,8.701485,2099,0.9665397392
2008-01-17,8906,8906.TWO,上櫃,8.673861,8.701485,8.577177,8.701485,42687,0.9665397392
2008-01-18,8906,8906.TWO,上櫃,8.45287,8.549553,8.425247,8.549553,12596,0.9665397225
2008-01-21,8906,8906.TWO,上櫃,8.66005,8.770544,8.632425,8.701485,35689,0.9665397392
2008-01-22,8906,8906.TWO,上櫃,8.093761,8.287128,8.093761,8.162822,81875,0.9665397835
2008-01-23,8906,8906.TWO,上櫃,8.14901,8.204257,8.01089,8.14901,74877,0.9665397419
2008-01-24,8906,8906.TWO,上櫃,7.582723,8.715298,7.582723,8.715298,9797,0.9665398839
2008-01-25,8906,8906.TWO,上櫃,8.701486,8.770546,8.370001,8.770546,28691,0.9665399363
2008-01-28,8906,8906.TWO,上櫃,8.839605,8.839605,8.563366,8.756734,37788,0.9665398979
2008-01-29,8906,8906.TWO,上櫃,8.563365,8.563365,8.563365,8.563365,2099,0.9665397622
2008-01-30,8906,8906.TWO,上櫃,8.563365,8.632425,8.563365,8.563365,9097,0.9665397622
2008-01-31,8906,8906.TWO,上櫃,8.632425,8.715297,8.563365,8.563365,35689,0.9665397622
2008-02-01,8906,8906.TWO,上櫃,8.632427,8.811981,8.632427,8.811981,6298,0.9665399465
2008-02-12,8906,8906.TWO,上櫃,8.811981,8.811981,8.811981,8.811981,0,0.9665399465
2008-02-13,8906,8906.TWO,上櫃,8.577178,8.977722,8.563365,8.977722,8397,0.9665397876
2008-02-14,8906,8906.TWO,上櫃,8.66005,8.950099,8.66005,8.950099,5598,0.9665398148
2008-02-15,8906,8906.TWO,上櫃,8.66005,8.894851,8.45287,8.825791,11896,0.9665397758
2008-02-18,8906,8906.TWO,上櫃,8.729109,8.825792,8.729109,8.798168,10496,0.9665398034
2008-02-19,8906,8906.TWO,上櫃,8.825791,8.825791,8.825791,8.825791,699,0.9665397758
2008-02-20,8906,8906.TWO,上櫃,8.825791,8.825791,8.701485,8.701485,23093,0.9665397392
2008-02-21,8906,8906.TWO,上櫃,8.701485,8.701485,8.701485,8.701485,4898,0.9665397392
2008-02-22,8906,8906.TWO,上櫃,8.977723,9.295397,8.701486,8.756734,7697,0.9665398979
2008-02-25,8906,8906.TWO,上櫃,8.577178,8.977722,8.577178,8.977722,56682,0.9665397876
2008-02-26,8906,8906.TWO,上櫃,9.295396,9.516385,8.977722,8.977722,4898,0.9665397876
2008-02-27,8906,8906.TWO,上櫃,9.25396,9.461138,8.825791,8.825791,11896,0.9665397758
2008-02-29,8906,8906.TWO,上櫃,9.32302,9.32302,8.701485,9.046782,13295,0.9665397746
2008-03-03,8906,8906.TWO,上櫃,8.784358,8.839605,8.563366,8.839605,4198,0.9665399219
2008-03-04,8906,8906.TWO,上櫃,8.701485,8.977722,8.701485,8.950099,8397,0.9665398148
2008-03-05,8906,8906.TWO,上櫃,8.701485,8.963911,8.66005,8.950099,11896,0.9665398148
2008-03-06,8906,8906.TWO,上櫃,8.963911,9.184901,8.839605,9.184901,107067,0.9665398495
2008-03-07,8906,8906.TWO,上櫃,9.03297,9.157277,8.770545,9.157277,39188,0.9665397757
2008-03-10,8906,8906.TWO,上櫃,9.157277,9.157277,9.157277,9.157277,0,0.9665397757
2008-03-11,8906,8906.TWO,上櫃,8.950098,9.392079,8.950098,9.005345,34989,0.9665397605
2008-03-12,8906,8906.TWO,上櫃,9.115842,9.115842,9.005345,9.005345,47585,0.9665397605
2008-03-13,8906,8906.TWO,上櫃,8.991535,8.991535,8.839605,8.839605,6298,0.9665399219
2008-03-14,8906,8906.TWO,上櫃,8.59099,8.977722,8.563365,8.977722,8397,0.9665397876
2008-03-17,8906,8906.TWO,上櫃,8.715298,8.715298,8.715298,8.715298,14695,0.9665398839
2008-03-18,8906,8906.TWO,上櫃,8.701486,8.715298,8.701486,8.715298,9797,0.9665398839
2008-03-19,8906,8906.TWO,上櫃,8.729109,9.088219,8.715298,8.715298,146955,0.9665398839
2008-03-20,8906,8906.TWO,上櫃,8.770545,8.908663,8.770545,8.908663,6997,0.9665398007
2008-03-21,8906,8906.TWO,上櫃,8.839604,8.977722,8.839604,8.977722,13995,0.9665397876
2008-03-24,8906,8906.TWO,上櫃,9.115842,9.115842,8.922474,9.115842,27991,0.9665397652
2008-03-25,8906,8906.TWO,上櫃,8.977723,8.977723,8.839605,8.922475,24492,0.9665398387
2008-03-26,8906,8906.TWO,上櫃,8.950099,8.950099,8.839605,8.922475,45486,0.9665398387
2008-03-27,8906,8906.TWO,上櫃,8.922474,8.96391,8.922474,8.96391,19594,0.9665397497
2008-03-28,8906,8906.TWO,上櫃,8.908663,8.977723,8.908663,8.922475,11896,0.9665398387
2008-03-31,8906,8906.TWO,上櫃,8.977722,8.991533,8.977722,8.991533,39887,0.9665397227
2008-04-01,8906,8906.TWO,上櫃,8.908663,8.908663,8.908663,8.908663,2099,0.9665398007
2008-04-02,8906,8906.TWO,上櫃,8.977722,8.977722,8.908663,8.908663,23093,0.9665398007
2008-04-03,8906,8906.TWO,上櫃,8.908662,9.115842,8.908662,9.115842,26591,0.9665397652
2008-04-07,8906,8906.TWO,上櫃,9.115842,9.115842,9.115842,9.115842,3498,0.9665397652
2008-04-08,8906,8906.TWO,上櫃,9.115842,9.115842,9.115842,9.115842,0,0.9665397652
2008-04-09,8906,8906.TWO,上櫃,9.046783,9.046783,8.563366,8.839605,27991,0.9665399219
2008-04-10,8906,8906.TWO,上櫃,8.839604,8.977722,8.839604,8.908663,27291,0.9665398007
2008-04-11,8906,8906.TWO,上櫃,8.908663,9.115843,8.908663,9.03297,39188,0.9665398391
2008-04-14,8906,8906.TWO,上櫃,9.115843,9.502575,8.991535,9.060595,39887,0.9665399137
2008-04-15,8906,8906.TWO,上櫃,9.115842,9.184901,9.115842,9.171089,6298,0.9665398127
2008-04-16,8906,8906.TWO,上櫃,9.184901,9.184901,8.535742,9.171089,81175,0.9665398127
2008-04-17,8906,8906.TWO,上櫃,9.115842,9.25396,8.977722,9.019158,27291,0.9665398015
2008-04-18,8906,8906.TWO,上櫃,9.184901,9.184901,8.922475,9.184901,16794,0.9665398495
2008-04-21,8906,8906.TWO,上櫃,9.184901,9.184901,8.977722,8.977722,9097,0.9665397876
2008-04-22,8906,8906.TWO,上櫃,9.1849,9.1849,8.977722,9.102029,11196,0.9665397245
2008-04-23,8906,8906.TWO,上櫃,8.563365,9.074405,8.563365,8.96391,8397,0.9665397497
2008-04-24,8906,8906.TWO,上櫃,8.908663,9.074406,8.839605,8.922475,21693,0.9665398387
2008-04-25,8906,8906.TWO,上櫃,8.784358,8.963912,8.784358,8.839605,32890,0.9665399219
2008-04-28,8906,8906.TWO,上櫃,8.839605,8.853416,8.839605,8.853416,6997,0.9665398559
2008-04-29,8906,8906.TWO,上櫃,8.853416,8.853416,8.853416,8.853416,13995,0.9665398559
2008-04-30,8906,8906.TWO,上櫃,8.853417,8.853417,8.715298,8.839605,10496,0.9665399219
2008-05-02,8906,8906.TWO,上櫃,8.715298,8.839605,8.715298,8.770546,11196,0.9665399363
2008-05-05,8906,8906.TWO,上櫃,8.839605,8.839605,8.770546,8.839605,18894,0.9665399219
2008-05-06,8906,8906.TWO,上櫃,8.770546,8.770546,8.770546,8.770546,27991,0.9665399363
2008-05-07,8906,8906.TWO,上櫃,8.72911,8.770546,8.72911,8.770546,9097,0.9665399363
2008-05-08,8906,8906.TWO,上櫃,8.770544,8.770544,8.701485,8.701485,18194,0.9665397392
2008-05-09,8906,8906.TWO,上櫃,8.770546,8.88104,8.756734,8.839605,8397,0.9665399219
2008-05-12,8906,8906.TWO,上櫃,8.839605,9.447327,8.839605,9.447327,92372,0.9665398565
2008-05-13,8906,8906.TWO,上櫃,10.096485,10.096485,10.096485,10.096485,254023,0.9665398145
2008-05-14,8906,8906.TWO,上櫃,10.800891,10.800891,10.800891,10.800891,119663,0.9665398179
2008-05-15,8906,8906.TWO,上櫃,11.546734,11.546734,11.367179,11.546734,2453459,0.9665399115
2008-05-16,8906,8906.TWO,上櫃,12.154456,12.154456,10.745644,11.021882,1252621,0.9665398189
2008-05-19,8906,8906.TWO,上櫃,10.745644,11.325743,10.262228,10.289852,575226,0.9665398364
2008-05-20,8906,8906.TWO,上櫃,9.944555,10.469406,9.695941,10.289852,894329,0.9665398364
2008-05-21,8906,8906.TWO,上櫃,10.289852,10.497029,10.096485,10.096485,167249,0.9665398145
2008-05-22,8906,8906.TWO,上櫃,10.096484,10.110296,9.668316,9.709751,182644,0.9665396764
2008-05-23,8906,8906.TWO,上櫃,9.98599,9.98599,9.295397,9.557821,146955,0.9665398534
2008-05-26,8906,8906.TWO,上櫃,9.39208,9.447327,8.894852,8.894852,216234,0.9665398663
2008-05-27,8906,8906.TWO,上櫃,8.300941,8.881039,8.300941,8.577178,142756,0.9665398054
2008-05-28,8906,8906.TWO,上櫃,8.439059,8.798168,8.439059,8.563365,118264,0.9665397622
2008-05-29,8906,8906.TWO,上櫃,8.494308,8.770546,8.494308,8.770546,175646,0.9665399363
2008-05-30,8906,8906.TWO,上櫃,8.756733,8.756733,8.383812,8.425247,129460,0.9665397933
2008-06-02,8906,8906.TWO,上櫃,8.328565,8.425248,8.024704,8.204259,118964,0.9665399112
2008-06-03,8906,8906.TWO,上櫃,8.204259,8.356189,8.010891,8.287129,94471,0.966539933
2008-06-04,8906,8906.TWO,上櫃,8.287128,8.328565,8.176634,8.176634,54583,0.9665398249
2008-06-05,8906,8906.TWO,上櫃,8.356189,8.356189,8.190446,8.287129,33589,0.966539933
2008-06-06,8906,8906.TWO,上櫃,8.328565,8.356188,8.07995,8.328565,53883,0.9665398368
2008-06-09,8906,8906.TWO,上櫃,8.121386,8.14901,8.121386,8.121386,24492,0.9665397679
2008-06-10,8906,8906.TWO,上櫃,8.245693,8.328565,8.14901,8.176634,48985,0.9665398249
2008-06-11,8906,8906.TWO,上櫃,8.190446,8.190446,8.024703,8.038515,74877,0.9665398548
2008-06-12,8906,8906.TWO,上櫃,8.038515,8.038515,7.541287,7.610346,101469,0.9665398461
2008-06-13,8906,8906.TWO,上櫃,7.610346,7.762278,7.582723,7.762278,22393,0.9665398623
2008-06-16,8906,8906.TWO,上櫃,7.845148,8.093761,7.845148,7.900395,19594,0.9665397107
2008-06-17,8906,8906.TWO,上櫃,7.77609,8.452871,7.651783,8.452871,125961,0.9665398735
2008-06-18,8906,8906.TWO,上櫃,9.03297,9.03297,9.03297,9.03297,143456,0.9665398391
2008-06-19,8906,8906.TWO,上櫃,9.1849,9.240148,8.411435,9.005345,145556,0.9665397605
2008-06-20,8906,8906.TWO,上櫃,9.005346,9.115842,8.618614,8.618614,49684,0.9665398199
2008-06-23,8906,8906.TWO,上櫃,8.618614,8.618614,8.425247,8.494307,68579,0.9665397795
2008-06-24,8906,8906.TWO,上櫃,8.300941,8.549554,8.300941,8.425247,46186,0.9665397933
2008-06-25,8906,8906.TWO,上櫃,8.425248,8.59099,8.356188,8.452871,249824,0.9665398735
2008-06-26,8906,8906.TWO,上櫃,8.45287,8.535742,8.45287,8.494307,14695,0.9665397795
2008-06-27,8906,8906.TWO,上櫃,8.425247,8.425247,8.218069,8.218069,23792,0.9665397279
2008-06-30,8906,8906.TWO,上櫃,8.190447,8.190447,7.872774,8.079951,16095,0.9665399803
2008-07-01,8906,8906.TWO,上櫃,7.900397,8.370001,7.803714,8.079951,16794,0.9665399803
2008-07-02,8906,8906.TWO,上櫃,8.149011,8.549555,7.803714,8.204259,23792,0.9665399112
2008-07-03,8906,8906.TWO,上櫃,8.079951,8.1352,8.024704,8.1352,16794,0.9665399267
2008-07-04,8906,8906.TWO,上櫃,8.121386,8.21807,7.748466,7.748466,34989,0.9665398187
2008-07-07,8906,8906.TWO,上櫃,8.190445,8.190445,7.734653,8.121386,37788,0.9665397679
